0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
4,10,38,16,121,0,0,0,0,0,0,0,0,0,0,0,0
6,25,43,11,100,100,1,21,162,0,0,0,0,0,0,0,0
10,15,299,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,20,50,264,0,0,0,0,0,0,0,0,0,0,0,0,0
5,43,18,112,562,0,0,0,0,0,0,0,0,0,0,0,0
6,25,25,1,22,79,486,0,0,0,0,0,0,0,0,0,0
8,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,260,276,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,26,357,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,4,1,18,26,7,59,627,0,0,0,0,0,0,0,0,0
